Freq.	V(vout2)
1.40281370456195e+02	(1.38695926292847e-03dB,-4.51892394135088e-01°)
1.40604752412990e+02	(1.39412269652372e-03dB,-4.52934513020621e-01°)
1.40928879842186e+02	(1.40131919813244e-03dB,-4.53979037006644e-01°)
1.41253754462274e+02	(1.40854892042221e-03dB,-4.55025971656676e-01°)
1.41579377995707e+02	(1.41581201676163e-03dB,-4.56075322547201e-01°)
1.41905752168908e+02	(1.42310864122610e-03dB,-4.57127095267688e-01°)
1.42232878712281e+02	(1.43043894861133e-03dB,-4.58181295420624e-01°)
1.42560759360218e+02	(1.43780309440436e-03dB,-4.59237928621556e-01°)
1.42889395851109e+02	(1.44520123483760e-03dB,-4.60297000499098e-01°)
1.43218789927353e+02	(1.45263352685406e-03dB,-4.61358516694991e-01°)
1.43548943335364e+02	(1.46010012811897e-03dB,-4.62422482864115e-01°)
1.43879857825583e+02	(1.46760119702549e-03dB,-4.63488904674523e-01°)
1.44211535152486e+02	(1.47513689270437e-03dB,-4.64557787807481e-01°)
1.44543977074592e+02	(1.48270737501819e-03dB,-4.65629137957482e-01°)
1.44877185354475e+02	(1.49031280456322e-03dB,-4.66702960832308e-01°)
1.45211161758773e+02	(1.49795334267910e-03dB,-4.67779262153021e-01°)
1.45545908058195e+02	(1.50562915145456e-03dB,-4.68858047654030e-01°)
1.45881426027534e+02	(1.51334039372170e-03dB,-4.69939323083105e-01°)
1.46217717445671e+02	(1.52108723307905e-03dB,-4.71023094201409e-01°)
1.46554784095590e+02	(1.52886983384726e-03dB,-4.72109366783540e-01°)
1.46892627764385e+02	(1.53668836114618e-03dB,-4.73198146617552e-01°)
1.47231250243271e+02	(1.54454298083126e-03dB,-4.74289439504993e-01°)
1.47570653327588e+02	(1.55243385953399e-03dB,-4.75383251260931e-01°)
1.47910838816819e+02	(1.56036116464262e-03dB,-4.76479587714003e-01°)
1.48251808514594e+02	(1.56832506434655e-03dB,-4.77578454706421e-01°)
1.48593564228699e+02	(1.57632572758416e-03dB,-4.78679858094027e-01°)
1.48936107771090e+02	(1.58436332408530e-03dB,-4.79783803746316e-01°)
1.49279440957898e+02	(1.59243802436356e-03dB,-4.80890297546466e-01°)
1.49623565609442e+02	(1.60054999971040e-03dB,-4.81999345391380e-01°)
1.49968483550236e+02	(1.60869942223190e-03dB,-4.83110953191706e-01°)
1.50314196609001e+02	(1.61688646480041e-03dB,-4.84225126871883e-01°)
1.50660706618673e+02	(1.62511130110092e-03dB,-4.85341872370167e-01°)
1.51008015416413e+02	(1.63337410562329e-03dB,-4.86461195638658e-01°)
1.51356124843619e+02	(1.64167505365838e-03dB,-4.87583102643346e-01°)
1.51705036745932e+02	(1.65001432130383e-03dB,-4.88707599364138e-01°)
1.52054752973248e+02	(1.65839208547177e-03dB,-4.89834691794888e-01°)
1.52405275379728e+02	(1.66680852390229e-03dB,-4.90964385943434e-01°)
1.52756605823806e+02	(1.67526381514804e-03dB,-4.92096687831631e-01°)
1.53108746168202e+02	(1.68375813856065e-03dB,-4.93231603495384e-01°)
1.53461698279928e+02	(1.69229167437949e-03dB,-4.94369138984683e-01°)
1.53815464030302e+02	(1.70086460362363e-03dB,-4.95509300363630e-01°)
1.54170045294954e+02	(1.70947710815741e-03dB,-4.96652093710491e-01°)
1.54525443953840e+02	(1.71812937071164e-03dB,-4.97797525117699e-01°)
1.54881661891247e+02	(1.72682157482570e-03dB,-4.98945600691923e-01°)
1.55238700995807e+02	(1.73555390491895e-03dB,-5.00096326554071e-01°)
1.55596563160506e+02	(1.74432654623279e-03dB,-5.01249708839346e-01°)
1.55955250282694e+02	(1.75313968488854e-03dB,-5.02405753697268e-01°)
1.56314764264094e+02	(1.76199350785657e-03dB,-5.03564467291716e-01°)
1.56675107010813e+02	(1.77088820296398e-03dB,-5.04725855800955e-01°)
1.57036280433354e+02	(1.77982395891390e-03dB,-5.05889925417675e-01°)
1.57398286446620e+02	(1.78880096528351e-03dB,-5.07056682349028e-01°)
1.57761126969933e+02	(1.79781941252408e-03dB,-5.08226132816652e-01°)
1.58124803927037e+02	(1.80687949194740e-03dB,-5.09398283056721e-01°)
1.58489319246110e+02	(1.81598139577786e-03dB,-5.10573139319965e-01°)
1.58854674859776e+02	(1.82512531711388e-03dB,-5.11750707871713e-01°)
1.59220872705115e+02	(1.83431144993944e-03dB,-5.12930994991931e-01°)
1.59587914723672e+02	(1.84353998914722e-03dB,-5.14114006975245e-01°)
1.59955802861465e+02	(1.85281113052315e-03dB,-5.15299750130990e-01°)
1.60324539069002e+02	(1.86212507075415e-03dB,-5.16488230783237e-01°)
1.60694125301286e+02	(1.87148200744346e-03dB,-5.17679455270824e-01°)
1.61064563517825e+02	(1.88088213909913e-03dB,-5.18873429947409e-01°)
1.61435855682647e+02	(1.89032566514362e-03dB,-5.20070161181487e-01°)
1.61808003764305e+02	(1.89981278593691e-03dB,-5.21269655356431e-01°)
1.62181009735891e+02	(1.90934370275531e-03dB,-5.22471918870531e-01°)
1.62554875575047e+02	(1.91891861778368e-03dB,-5.23676958137033e-01°)
1.62929603263970e+02	(1.92853773417910e-03dB,-5.24884779584164e-01°)
1.63305194789432e+02	(1.93820125600527e-03dB,-5.26095389655175e-01°)
1.63681652142779e+02	(1.94790938829226e-03dB,-5.27308794808376e-01°)
1.64058977319952e+02	(1.95766233699986e-03dB,-5.28525001517175e-01°)
1.64437172321491e+02	(1.96746030903302e-03dB,-5.29744016270107e-01°)
1.64816239152549e+02	(1.97730351228037e-03dB,-5.30965845570878e-01°)
1.65196179822900e+02	(1.98719215556599e-03dB,-5.32190495938395e-01°)
1.65576996346951e+02	(1.99712644868413e-03dB,-5.33417973906809e-01°)
1.65958690743754e+02	(2.00710660240496e-03dB,-5.34648286025549e-01°)
1.66341265037015e+02	(2.01713282846686e-03dB,-5.35881438859347e-01°)
1.66724721255104e+02	(2.02720533958022e-03dB,-5.37117438988303e-01°)
1.67109061431069e+02	(2.03732434944674e-03dB,-5.38356293007892e-01°)
1.67494287602642e+02	(2.04749007275554e-03dB,-5.39598007529015e-01°)
1.67880401812254e+02	(2.05770272517546e-03dB,-5.40842589178042e-01°)
1.68267406107045e+02	(2.06796252338970e-03dB,-5.42090044596832e-01°)
1.68655302538872e+02	(2.07826968506306e-03dB,-5.43340380442789e-01°)
1.69044093164324e+02	(2.08862442888046e-03dB,-5.44593603388881e-01°)
1.69433780044731e+02	(2.09902697453348e-03dB,-5.45849720123698e-01°)
1.69824365246172e+02	(2.10947754271061e-03dB,-5.47108737351470e-01°)
1.70215850839493e+02	(2.11997635514938e-03dB,-5.48370661792117e-01°)
1.70608238900310e+02	(2.13052363459194e-03dB,-5.49635500181282e-01°)
1.71001531509027e+02	(2.14111960481978e-03dB,-5.50903259270366e-01°)
1.71395730750840e+02	(2.15176449063054e-03dB,-5.52173945826580e-01°)
1.71790838715757e+02	(2.16245851788044e-03dB,-5.53447566632965e-01°)
1.72186857498599e+02	(2.17320191345341e-03dB,-5.54724128488437e-01°)
1.72583789199018e+02	(2.18399490529574e-03dB,-5.56003638207831e-01°)
1.72981635921508e+02	(2.19483772239492e-03dB,-5.57286102621931e-01°)
1.73380399775412e+02	(2.20573059479303e-03dB,-5.58571528577515e-01°)
1.73780082874935e+02	(2.21667375360029e-03dB,-5.59859922937387e-01°)
1.74180687339159e+02	(2.22766743101043e-03dB,-5.61151292580424e-01°)
1.74582215292048e+02	(2.23871186026406e-03dB,-5.62445644401606e-01°)
1.74984668862463e+02	(2.24980727568910e-03dB,-5.63742985312065e-01°)
1.75388050184174e+02	(2.26095391269308e-03dB,-5.65043322239109e-01°)
1.75792361395867e+02	(2.27215200778239e-03dB,-5.66346662126274e-01°)
1.76197604641161e+02	(2.28340179853528e-03dB,-5.67653011933362e-01°)
1.76603782068614e+02	(2.29470352364422e-03dB,-5.68962378636478e-01°)
1.77010895831740e+02	(2.30605742290051e-03dB,-5.70274769228058e-01°)
1.77418948089014e+02	(2.31746373720383e-03dB,-5.71590190716930e-01°)
1.77827941003890e+02	(2.32892270854879e-03dB,-5.72908650128345e-01°)
1.78237876744807e+02	(2.34043458007885e-03dB,-5.74230154504006e-01°)
1.78648757485203e+02	(2.35199959603811e-03dB,-5.75554710902120e-01°)
1.79060585403527e+02	(2.36361800180020e-03dB,-5.76882326397431e-01°)
1.79473362683250e+02	(2.37529004388565e-03dB,-5.78213008081268e-01°)
1.79887091512876e+02	(2.38701596993480e-03dB,-5.79546763061584e-01°)
1.80301774085954e+02	(2.39879602874835e-03dB,-5.80883598462979e-01°)
1.80717412601090e+02	(2.41063047027184e-03dB,-5.82223521426767e-01°)
1.81134009261958e+02	(2.42251954558796e-03dB,-5.83566539110998e-01°)
1.81551566277311e+02	(2.43446350697050e-03dB,-5.84912658690501e-01°)
1.81970085860996e+02	(2.44646260783420e-03dB,-5.86261887356931e-01°)
1.82389570231961e+02	(2.45851710277519e-03dB,-5.87614232318807e-01°)
1.82810021614272e+02	(2.47062724755560e-03dB,-5.88969700801551e-01°)
1.83231442237119e+02	(2.48279329912660e-03dB,-5.90328300047529e-01°)
1.83653834334832e+02	(2.49501551562455e-03dB,-5.91690037316095e-01°)
1.84077200146893e+02	(2.50729415638838e-03dB,-5.93054919883622e-01°)
1.84501541917945e+02	(2.51962948193246e-03dB,-5.94422955043566e-01°)
1.84926861897805e+02	(2.53202175399488e-03dB,-5.95794150106483e-01°)
1.85353162341478e+02	(2.54447123550846e-03dB,-5.97168512400079e-01°)
1.85780445509167e+02	(2.55697819062578e-03dB,-5.98546049269260e-01°)
1.86208713666284e+02	(2.56954288473266e-03dB,-5.99926768076164e-01°)
1.86637969083464e+02	(2.58216558441731e-03dB,-6.01310676200199e-01°)
1.87068214036577e+02	(2.59484655751075e-03dB,-6.02697781038105e-01°)
1.87499450806739e+02	(2.60758607308487e-03dB,-6.04088090003970e-01°)
1.87931681680324e+02	(2.62038440144664e-03dB,-6.05481610529289e-01°)
1.88364908948977e+02	(2.63324181415541e-03dB,-6.06878350063006e-01°)
1.88799134909627e+02	(2.64615858401904e-03dB,-6.08278316071546e-01°)
1.89234361864495e+02	(2.65913498512085e-03dB,-6.09681516038866e-01°)
1.89670592121112e+02	(2.67217129279456e-03dB,-6.11087957466500e-01°)
1.90107827992327e+02	(2.68526778365505e-03dB,-6.12497647873588e-01°)
1.90546071796322e+02	(2.69842473558877e-03dB,-6.13910594796939e-01°)
1.90985325856621e+02	(2.71164242776713e-03dB,-6.15326805791053e-01°)
1.91425592502106e+02	(2.72492114065425e-03dB,-6.16746288428182e-01°)
1.91866874067026e+02	(2.73826115600495e-03dB,-6.18169050298360e-01°)
1.92309172891013e+02	(2.75166275687824e-03dB,-6.19595099009454e-01°)
1.92752491319091e+02	(2.76512622763924e-03dB,-6.21024442187203e-01°)
1.93196831701689e+02	(2.77865185397065e-03dB,-6.22457087475270e-01°)
1.93642196394658e+02	(2.79223992287473e-03dB,-6.23893042535269e-01°)
1.94088587759275e+02	(2.80589072266744e-03dB,-6.25332315046826e-01°)
1.94536008162263e+02	(2.81960454301503e-03dB,-6.26774912707614e-01°)
1.94984459975802e+02	(2.83338167490512e-03dB,-6.28220843233400e-01°)
1.95433945577536e+02	(2.84722241067942e-03dB,-6.29670114358088e-01°)
1.95884467350596e+02	(2.86112704402217e-03dB,-6.31122733833756e-01°)
1.96336027683602e+02	(2.87509586998895e-03dB,-6.32578709430724e-01°)
1.96788628970681e+02	(2.88912918497975e-03dB,-6.34038048937563e-01°)
1.97242273611482e+02	(2.90322728677550e-03dB,-6.35500760161172e-01°)
1.97696964011183e+02	(2.91739047453227e-03dB,-6.36966850926802e-01°)
1.98152702580507e+02	(2.93161904878125e-03dB,-6.38436329078114e-01°)
1.98609491735734e+02	(2.94591331144993e-03dB,-6.39909202477214e-01°)
1.99067333898716e+02	(2.96027356585432e-03dB,-6.41385479004704e-01°)
1.99526231496885e+02	(2.97470011671437e-03dB,-6.42865166559724e-01°)
1.99986186963271e+02	(2.98919327015584e-03dB,-6.44348273060001e-01°)
2.00447202736513e+02	(3.00375333371223e-03dB,-6.45834806441892e-01°)
2.00909281260870e+02	(3.01838061635939e-03dB,-6.47324774660426e-01°)
2.01372424986236e+02	(3.03307542848084e-03dB,-6.48818185689361e-01°)
2.01836636368153e+02	(3.04783808189663e-03dB,-6.50315047521212e-01°)
2.02301917867824e+02	(3.06266888987293e-03dB,-6.51815368167316e-01°)
2.02768271952125e+02	(3.07756816710850e-03dB,-6.53319155657870e-01°)
2.03235701093619e+02	(3.09253622978288e-03dB,-6.54826418041967e-01°)
2.03704207770569e+02	(3.10757339551777e-03dB,-6.56337163387658e-01°)
2.04173794466950e+02	(3.12267998340012e-03dB,-6.57851399781995e-01°)
2.04644463672464e+02	(3.13785631399368e-03dB,-6.59369135331070e-01°)
2.05116217882553e+02	(3.15310270934667e-03dB,-6.60890378160070e-01°)
2.05589059598411e+02	(3.16841949300136e-03dB,-6.62415136413318e-01°)
2.06062991326997e+02	(3.18380698997479e-03dB,-6.63943418254323e-01°)
2.06538015581050e+02	(3.19926552680495e-03dB,-6.65475231865825e-01°)
2.07014134879101e+02	(3.21479543152380e-03dB,-6.67010585449850e-01°)
2.07491351745488e+02	(3.23039703369382e-03dB,-6.68549487227738e-01°)
2.07969668710366e+02	(3.24607066438487e-03dB,-6.70091945440217e-01°)
2.08449088309726e+02	(3.26181665620882e-03dB,-6.71637968347429e-01°)
2.08929613085401e+02	(3.27763534330603e-03dB,-6.73187564228991e-01°)
2.09411245585086e+02	(3.29352706136264e-03dB,-6.74740741384030e-01°)
2.09893988362349e+02	(3.30949214760286e-03dB,-6.76297508131247e-01°)
2.10377843976644e+02	(3.32553094084286e-03dB,-6.77857872808955e-01°)
2.10862814993325e+02	(3.34164378142906e-03dB,-6.79421843775121e-01°)
2.11348903983661e+02	(3.35783101129786e-03dB,-6.80989429407426e-01°)
2.11836113524847e+02	(3.37409297396012e-03dB,-6.82560638103322e-01°)
2.12324446200018e+02	(3.39043001452048e-03dB,-6.84135478280046e-01°)
2.12813904598268e+02	(3.40684247965797e-03dB,-6.85713958374717e-01°)
2.13304491314654e+02	(3.42333071767802e-03dB,-6.87296086844339e-01°)
2.13796208950220e+02	(3.43989507848933e-03dB,-6.88881872165871e-01°)
2.14289060112002e+02	(3.45653591359992e-03dB,-6.90471322836290e-01°)
2.14783047413050e+02	(3.47325357616530e-03dB,-6.92064447372610e-01°)
2.15278173472434e+02	(3.49004842095178e-03dB,-6.93661254311962e-01°)
2.15774440915263e+02	(3.50692080438080e-03dB,-6.95261752211616e-01°)
2.16271852372698e+02	(3.52387108450956e-03dB,-6.96865949649048e-01°)
2.16770410481966e+02	(3.54089962105219e-03dB,-6.98473855221983e-01°)
2.17270117886371e+02	(3.55800677539130e-03dB,-7.00085477548461e-01°)
2.17770977235312e+02	(3.57519291057980e-03dB,-7.01700825266848e-01°)
2.18272991184296e+02	(3.59245839132743e-03dB,-7.03319907035934e-01°)
2.18776162394951e+02	(3.60980358404691e-03dB,-7.04942731534950e-01°)
2.19280493535041e+02	(3.62722885684815e-03dB,-7.06569307463641e-01°)
2.19785987278479e+02	(3.64473457952853e-03dB,-7.08199643542291e-01°)
2.20292646305342e+02	(3.66232112360950e-03dB,-7.09833748511793e-01°)
2.20800473301886e+02	(3.67998886230182e-03dB,-7.11471631133702e-01°)
2.21309470960560e+02	(3.69773817056720e-03dB,-7.13113300190273e-01°)
2.21819641980018e+02	(3.71556942508933e-03dB,-7.14758764484515e-01°)
2.22330989065136e+02	(3.73348300428924e-03dB,-7.16408032840259e-01°)
2.22843514927026e+02	(3.75147928835032e-03dB,-7.18061114102187e-01°)
2.23357222283049e+02	(3.76955865919320e-03dB,-7.19718017135893e-01°)
2.23872113856830e+02	(3.78772150052196e-03dB,-7.21378750827933e-01°)
2.24388192378273e+02	(3.80596819777780e-03dB,-7.23043324085894e-01°)
2.24905460583574e+02	(3.82429913823927e-03dB,-7.24711745838411e-01°)
2.25423921215239e+02	(3.84271471093346e-03dB,-7.26384025035255e-01°)
2.25943577022094e+02	(3.86121530667845e-03dB,-7.28060170647362e-01°)
2.26464430759302e+02	(3.87980131814485e-03dB,-7.29740191666895e-01°)
2.26986485188378e+02	(3.89847313976134e-03dB,-7.31424097107296e-01°)
2.27509743077203e+02	(3.91723116782063e-03dB,-7.33111896003341e-01°)
